,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
0,XXII,"22nd Century Group, Inc",2.31,286750000.0,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/xxii
1,FAX,Aberdeen Asia-Pacific Income Fund Inc,4.695,1180000000.0,1986,n/a,n/a,https://www.nasdaq.com/symbol/fax
2,IAF,Aberdeen Australia Equity Fund Inc,6.03,137140000.0,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iaf
3,CH,"Aberdeen Chile Fund, Inc.",9.08,84970000.0,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ch
4,ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,14.7899,140280000.0,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abe
5,FCO,"Aberdeen Global Income Fund, Inc.",8.65,75470000.0,1992,n/a,n/a,https://www.nasdaq.com/symbol/fco
6,IF,"Aberdeen Indonesia Fund, Inc.",7.33,67860000.0,1990,n/a,n/a,https://www.nasdaq.com/symbol/if
7,ISL,"Aberdeen Israel Fund, Inc.",19.07,75240000.0,1992,n/a,n/a,https://www.nasdaq.com/symbol/isl
8,ACU,Acme United Corporation.,22.099,74560000.0,1988,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acu
9,ATNM,"Actinium Pharmaceuticals, Inc.",0.387,42650000.0,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/atnm
10,AE,"Adams Resources & Energy, Inc.",44.3,186840000.0,n/a,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/ae
11,ACY,AeroCentury Corp.,15.9,22530000.0,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/acy
12,UAVS,"AgEagle Aerial Systems, Inc.",4.96,49040000.0,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/uavs
13,AIRI,Air Industries Group,1.45,36050000.0,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/airi
14,AXU,Alexco Resource Corp,1.4,142300000.0,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/axu
15,ALO,Alio Gold Inc.,2.04,91140000.0,2011,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/alo
16,AAU,"Almaden Minerals, Ltd.",0.7925,80990000.0,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aau
17,APT,"Alpha Pro Tech, Ltd.",3.2,45730000.0,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/apt
18,AAMC,Altisource Asset Management Corp,62.45,100030000.0,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/aamc
19,DIT,AMCON Distributing Company,92,63520000.0,n/a,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/dit
20,ALN,American Lorain Corporation,0.19,7270000.0,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/aln
21,AMS,American Shared Hospital Services,2.4,13700000.0,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/ams
