,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
0,PIH,"1347 Property Insurance Holdings, Inc.",6.85,41000000,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih
1,PIHPP,"1347 Property Insurance Holdings, Inc.",24.5,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp
2,TURN,180 Degree Capital Corp.,1.8538,57690000,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn
3,FLWS,"1-800 FLOWERS.COM, Inc.",12.7,819620000,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws
4,FCCY,1st Constitution Bancorp (NJ),21.8,176850000,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy
5,SRCE,1st Source Corporation,50.54,1360000000,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce
6,VNET,"21Vianet Group, Inc.",6.3,703400000,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet
7,TWOU,"2U, Inc.",82.25,4340000000,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou
8,JOBS,"51job, Inc.",87.39,5410000000,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs
9,CAFD,8point3 Energy Partners LP,11.99,948330000,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/cafd
10,EGHT,8x8 Inc,18.55,1710000000,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/eght
11,AVHI,"A V Homes, Inc.",19,424620000,n/a,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/avhi
12,SHLM,"A. Schulman, Inc.",42.95,1270000000,1972,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/shlm
13,AAON,"AAON, Inc.",34.3,1800000000,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon
14,ABAX,"ABAXIS, Inc.",68.85,1560000000,1992,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/abax
15,ABEO,Abeona Therapeutics Inc.,14,661180000,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo
16,ABEOW,Abeona Therapeutics Inc.,9.2647,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow
17,ABIL,Ability Inc.,2.7301,7030000,2014,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil
18,ABMD,"ABIOMED, Inc.",286.22,12670000000,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd
19,ABLX,Ablynx NV,54.61,4110000000,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/ablx
20,AXAS,Abraxas Petroleum Corporation,2.28,378260000,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas
21,ACIU,AC Immune SA,9.01,516770000,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu
22,ACIA,"Acacia Communications, Inc.",35.89,1430000000,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia
