,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
0,DDD,3D Systems Corporation,11.25,1280000000,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd
1,MMM,3M Company,212.25,1.26E+11,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm
2,WBAI,500.com Limited,16.9,689610000,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/wbai
3,WUBA,58.com Inc.,76.97,11280000000,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wuba
4,EGHT,8x8 Inc,18.55,1710000000,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/eght
5,AHC,A.H. Belo Corporation,5.2,113200000,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc
6,ATEN,"A10 Networks, Inc.",5.87,415310000,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/aten
7,AAC,"AAC Holdings, Inc.",11.46,280310000,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac
8,AIR,AAR Corp.,43.23,1500000000,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/air
9,AAN,"Aaron&#39;s,  Inc.",46.8,3400000000,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan
10,ABB,ABB Ltd,22.32,47730000000,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb
11,ABT,Abbott Laboratories,57.57,1.01E+11,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt
12,ABBV,AbbVie Inc.,89.78,1.42E+11,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv
13,ANF,Abercrombie & Fitch Company,27.35,1860000000,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/anf
14,GCH,"Aberdeen Greater China Fund, Inc.",13.37,117880000,1992,n/a,n/a,https://www.nasdaq.com/symbol/gch
15,ACP,Aberdeen Income Credit Strategies Fund,13.73,179510000,2011,n/a,n/a,https://www.nasdaq.com/symbol/acp
16,JEQ,"Aberdeen Japan Equity Fund, Inc. ",9.13,122140000,1992,n/a,n/a,https://www.nasdaq.com/symbol/jeq
17,SGF,"Aberdeen Singapore Fund, Inc.",13.06,96890000,1990,n/a,n/a,https://www.nasdaq.com/symbol/sgf
18,ABM,ABM Industries Incorporated,32.63,2140000000,n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm
19,AKR,Acadia Realty Trust,24.35,2010000000,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/akr
20,ACN,Accenture plc,147.38,99190000000,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/acn
21,ACCO,Acco Brands Corporation,12.85,1390000000,n/a,Consumer Durables,Publishing,https://www.nasdaq.com/symbol/acco
22,ATV,"Acorn International, Inc.",19.52,52340000,2007,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/atv
23,ATU,Actuant Corporation,22.75,1370000000,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/atu
24,AYI,Acuity Brands Inc,131.83,5560000000,n/a,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ayi
25,GOLF,Acushnet Holdings Corp.,23.85,1780000000,2016,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/golf
26,ADX,"Adams Diversified Equity Fund, Inc.",14.61,1440000000,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adx
27,PEO,"Adams Natural Resources Fund, Inc.",18.16,518490000,n/a,n/a,n/a,https://www.nasdaq.com/symbol/peo
28,AGRO,Adecoagro S.A.,8.09,990070000,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/agro
29,ADNT,Adient plc,63.92,5970000000,2016,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adnt
30,ADT,ADT Inc.,8.75,6550000000,2018,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/adt
31,ATGE,Adtalem Global Education Inc.,48.05,2900000000,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/atge
32,AAP,Advance Auto Parts Inc,111.91,8280000000,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap
33,ADSW,"Advanced Disposal Services, Inc.",22.33,1980000000,2016,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/adsw
34,WMS,"Advanced Drainage Systems, Inc.",25.15,1410000000,2014,Capital Goods,Containers/Packaging,https://www.nasdaq.com/symbol/wms
35,ASX,"Advanced Semiconductor Engineering, Inc.",7.05,12320000000,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/asx
36,ASIX,AdvanSix Inc.,35.66,1090000000,2016,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/asix
37,AAV,Advantage Oil & Gas Ltd,3.1,576490000,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/aav
38,AVK,Advent Claymore Convertible Securities and Income Fund,14.97,300050000,2003,n/a,n/a,https://www.nasdaq.com/symbol/avk
39,AGC,Advent Claymore Convertible Securities and Income Fund II,5.58,152710000,2007,n/a,n/a,https://www.nasdaq.com/symbol/agc
40,LCM,Advent/Claymore Enhanced Growth & Income Fund,7.81,71710000,2005,n/a,n/a,https://www.nasdaq.com/symbol/lcm
41,ACM,AECOM,34.97,5570000000,2007,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/acm
42,ANW,Aegean Marine Petroleum Network Inc.,2.25,91440000,2006,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/anw
43,AEB,Aegon NV,25.05,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeb
44,AED,Aegon NV,26.08,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aed
45,AEG,Aegon NV,6.79,13890000000,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeg
46,AEH,Aegon NV,25.78,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeh
47,AEK,Aegon NV,25.62,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aek
48,AER,Aercap Holdings N.V.,51.43,7870000000,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aer
49,HIVE,"Aerohive Networks, Inc.",3.87,209680000,2014,Technology,EDP Services,https://www.nasdaq.com/symbol/hive
50,AJRD,"Aerojet Rocketdyne Holdings, Inc. ",28.09,2120000000,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/ajrd
51,AET,Aetna Inc.,170.38,55700000000,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aet
52,AMG,"Affiliated Managers Group, Inc.",176.44,9580000000,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amg
53,AFL,Aflac Incorporated,43.37,67600000000,n/a,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/afl
54,MITT,"AG Mortgage Investment Trust, Inc.",17.38,490040000,2011,n/a,n/a,https://www.nasdaq.com/symbol/mitt
55,MITT^A,"AG Mortgage Investment Trust, Inc.",25.24,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^a
56,MITT^B,"AG Mortgage Investment Trust, Inc.",24.9468,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^b
57,AGCO,AGCO Corporation,64.76,5150000000,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/agco
58,A,"Agilent Technologies, Inc.",63.65,20530000000,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a
59,AEM,Agnico Eagle Mines Limited,42.55,9920000000,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aem
60,ADC,Agree Realty Corporation,49.5,1540000000,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/adc
61,AL,Air Lease Corporation,41.52,4320000000,2011,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/al
62,APD,"Air Products and Chemicals, Inc.",159.96,35020000000,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/apd
63,AYR,Aircastle Limited,19.79,1550000000,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/ayr
64,AKS,AK Steel Holding Corporation,4.37,1380000000,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/aks
65,ALP^Q,Alabama Power Company,25.4,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/alp^q
66,ALG,"Alamo Group, Inc.",114.38,1330000000,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/alg
67,AGI,Alamos Gold Inc.,5.49,2140000000,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/agi
68,ALK,"Alaska Air Group, Inc.",60.77,7500000000,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/alk
69,AIN,Albany International Corporation,63.45,2050000000,n/a,Basic Industries,Textiles,https://www.nasdaq.com/symbol/ain
70,ALB,Albemarle Corporation,91.8,10160000000,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/alb
71,AA,Alcoa Corporation,48.05,8950000000,2016,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/aa
72,ALEX,"Alexander & Baldwin, Inc.",23.01,1650000000,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alex
73,ALX,"Alexander&#39;s, Inc.",388.65,1980000000,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alx
74,ARE,"Alexandria Real Estate Equities, Inc.",122.07,12360000000,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/are
75,ARE^D,"Alexandria Real Estate Equities, Inc.",35.54,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/are^d
76,AQN,Algonquin Power & Utilities Corp.,9.91,4290000000,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqn
77,BABA,Alibaba Group Holding Limited,167.52,4.30E+11,2014,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/baba
78,Y,Alleghany Corporation,592.02,9120000000,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/y
79,ATI,Allegheny Technologies Incorporated,23.85,3000000000,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/ati
80,ALLE,Allegion plc,84.75,8070000000,2013,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/alle
81,AGN,Allergan plc.,161.52,52910000000,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agn
82,ALE,"Allete, Inc.",71.72,3680000000,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ale
83,AKP,Alliance California Municipal Income Fund Inc,12.71,108730000,2002,n/a,n/a,https://www.nasdaq.com/symbol/akp
84,ADS,Alliance Data Systems Corporation,205.75,11410000000,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ads
85,AFB,Alliance National Municipal Income Fund Inc,12.54,360460000,2002,n/a,n/a,https://www.nasdaq.com/symbol/afb
86,AOI,"Alliance One International, Inc.",27.2,245040000,n/a,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/aoi
87,AWF,Alliance World Dollar Government Fund II,11.79,1020000000,1993,n/a,n/a,https://www.nasdaq.com/symbol/awf
88,AB,AllianceBernstein Holding L.P.,26.35,2540000000,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/ab
89,LNT,Alliant Energy Corporation,41.02,9490000000,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/lnt
90,CBH,AllianzGI Convertible & Income 2024 Target Term Fund,9.21,168150000,2017,n/a,n/a,https://www.nasdaq.com/symbol/cbh
91,NCV,AllianzGI Convertible & Income Fund,6.88,611850000,2003,n/a,n/a,https://www.nasdaq.com/symbol/ncv
92,NCZ,AllianzGI Convertible & Income Fund II,6.02,451600000,2003,n/a,n/a,https://www.nasdaq.com/symbol/ncz
93,ACV,AllianzGI Diversified Income & Convertible Fund,22.83,234580000,2015,n/a,n/a,https://www.nasdaq.com/symbol/acv
94,NIE,AllianzGI Equity & Convertible Income Fund,20.59,570530000,2007,n/a,n/a,https://www.nasdaq.com/symbol/nie
95,NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",12.53,1190000000,2005,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/nfj
96,ALSN,"Allison Transmission Holdings, Inc.",38.24,5290000000,2012,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/alsn
97,ALL,Allstate Corporation (The),95.9,33870000000,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/all
98,ALL^A,Allstate Corporation (The),25.33,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^a
99,ALL^B,Allstate Corporation (The),26.33,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^b
100,ALL^C,Allstate Corporation (The),25.59,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^c
101,ALL^D,Allstate Corporation (The),25.8601,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^d
102,ALL^E,Allstate Corporation (The),25.98,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^e
